Afar,
Abkhazian,
Achinese,
Acoli,
Adangme,
Adyghe,
Afrihili,
Afrikaans,
Ainu,
Akan,
Akkadian,
Albanian,
Aleut,
Amharic,
Angika,
Apache,
Arabic,
Aragonese,Aragones
Arapaho,
Arawak,
Armenian,
Aromanian,
Assamese,
Avaric,
Avestan,
Awadhi,
Aymara,
Azerbaijani,
Bable,
Balinese,
Baluchi,
Bambara,
Bantu ,
Basa,
Bashkir,
Basque,Vasco
Belarusian,
Bemba,
Bengali,
Bhojpuri,
Bikol,
Bini,
Bislama,
Blin,
Bosnian,Bosnio
Braj,
Breton,
Buginese,
Bulgarian,Bulgaro
Buriat,
Burmese,
Caddo,
Catalan,
Cebuano,
Central Khmer,
Chagatai,
Chamorro,
Chechen,
Cherokee,
Cheyenne,
Chibcha,
Chinese,Chino
Chipewyan,
Choctaw,
Chuukese,
Chuvash,
Coptic,
Cornish,
Corsican,
Cree,
Creek,
Crimean ,
Croatian,Croata
Czech,Checo
Dakota,
Danish,Danés
Dargwa,
Delaware,
Dinka,
Dogri,
Dogrib,
Duala,
Dutch,Holandes
Dyula,
Dzongkha,
Efik,
Ekajuk,
Elamite,
English,Ingles
Erzya,
Esperanto,
Estonian,Estonio
Ewe,
Ewondo,
Fang,
Fanti,
Faroese,
Fijian,
Filipino,
Finnish,Finlandes
Flemish,Flamenco
Fon,
French,Frances
Frisian,
Friulian,
Fulah,
Ga,
Gaelic,Gaelico
Galibi Carib,
Galician,Gallego
Ganda,
Gayo,
Gbaya,
Geez,
Georgian,
German,Aleman
Gilbertese,
Gondi,
Gorontalo,
Gothic,
Grebo,
Greek,
Guarani,
Gujarati,
Haida,
Haitian,
Hausa,
Hawaiian,
Hebrew,Hebreo
Herero,
Hiligaynon,
Hindi,
Hiri Motu,
Hittite,
Hmong,
Hungarian,Hungaro
Hupa,
Iban,
Icelandic,Islandes
Ido,
Igbo,
Iloko,
Indonesian,Indonesio
Ingush,
Inuktitut,
Inupiaq,
Italian,Italiano
Japanese,Japones
Javanese,
Kabardian,
Kabyle,
Kamba,
Kannada,
Kanuri,
Karachay-Balkar,
Karelian,
Kashmiri,
Kashubian,
Kawi,
Kazakh,
Khasi,
Kimbundu,
Kinyarwanda,
Komi,
Kongo,
Konkani,
Korean,Coreano
Kosraean,
Kpelle,
Kuanyama,
Kumyk,
Kurdish,
Kurukh,
Kutenai,
Ladino,
Lahnda,
Lamba,
Lao,
Latin,
Latvian,Letón
Lezghian,
Limburgan,
Lingala,
Lithuanian,Lituano
Lojban,
Lower Sorbian,
Lozi,
Luba-Katanga,
Luba-Lulua,
Luiseno,
Lunda,
Luo ,
Lushai,
Luxembourgish,Luxemburges
Macedonian,Macedonio
Madurese,
Magahi,
Maithili,
Makasar,
Malagasy,
Malay,Malayo
Malayalam,
Maltese,
Manchu,
Mandar,
Mandingo,
Manipuri,
Manx,
Maori,
Mapuche,
Marathi,
Mari,
Marshallese,
Marwari,
Masai,
Mende,
Minangkabau,
Mirandese,
Mohawk,
Moksha,
Moldavian,Moldavo
Mongo,
Mongolian,Mongol
Mossi,
N'Ko,
Nauru,
Navajo,
Ndonga,
Neapolitan,
Nepali,
Nias,
Niuean,
Nogai,
Norwegian,Noruego
Nyamwezi,
Nyankole,
Nyoro,
Nzima,
Ojibwa,
Oriya,
Oromo,
Osage,
Ossetian,
Pahlavi,
Palauan,
Pali,
Pangasinan,
Papiamento,
Phoenician,
Pohnpeian,
Polish,Polaco
Portuguese,Portuges
Quechua,
Rajasthani,
Rapanui,
Romansh,
Romany,Rumano
Rundi,
Russian,Ruso
Sami,
Samoan,
Sandawe,
Sango,
Sanskrit,
Santali,
Sardinian,
Sasak,
Scots,
Selkup,
Serbian,Serbio
Serer,
Shan,
Shona,
Sicilian,
Sidamo,
Siksika,
Sindhi,
Slovak,Eslovaco
Slovenian,Esloveno
Sogdian,
Somali,
Soninke,
Spanish,Español
Sukuma,
Sumerian,
Sundanese,Sudanes
Susu,
Swahili,
Swati,
Swedish,Sueco
Tagalog,
Tahitian,
Tajik,
Tamashek,
Tamil,
Tatar,
Telugu,
Tereno,
Tetum,
Thai,
Tibetan,
Tigre,
Tigrinya,
Timne,
Tiv,
Tlingit,
Tok Pisin,
Tokelau,
Tonga ,
Tsimshian,
Tsonga,
Tswana,
Tumbuka,
Turkish,Turco
Turkmen,
Tuvalu,
Tuvinian,
Twi,
Udmurt,
Ugaritic,
Uighur,
Ukrainian,
Umbundu,
Urdu,
Uzbek,Uzbeco
Vai,
Valencian,Valenciano
Venda,
Vietnamese,
Volapük,
Votic,
Walamo,
Walloon,
Waray,
Washo,
Welsh,
Wolof,
Xhosa,
Yakut,
Yao,
Yapese,
Yiddish,
Yoruba,
Zapotec,
Zenaga,
Zulu,
Zuni,
